date,total users,users on pages with premium offer,users on showcase pages with premium offer,users on core datasets,users on sports data,users on machine learning data,users on crypto data,users on s&p500 datasets,users on world bank datasets,users on unece datasets,users on search page,users on collections pages,users on dashboard page,users on pricing page,total clicks,clicks on showcase pages,clicks on core data,clicks on sports data,clicks on machine learning,clicks on cryptocurrency data,clicks on s-and-p-500-financial-data,clicks on world-bank data,clicks on unece data,clicks on search page,clicks on collections pages,clicks on dashboard page,clicks on pricing page,total submissions,showcase page submissions,core data submissions,sports data submissions,machine learning submissions,crypto data submissions,s&p 500 submissions,world bank submissions,unece submissions,search page submissions,collections pages submissions,dashboard page submissions,pricing page submissions
2019-03-05,13301,11032,9205,7390,864,821,29,0,236,0,1131,2433,70,201,211,200,154,24,17,1,0,4,0,1,5,2,3,15,13,7,2,4,0,0,0,0,0,2,0,0
2019-03-06,13319,11077,9145,7307,908,793,31,0,227,0,1135,2564,73,194,204,192,147,24,17,1,0,3,0,1,5,2,4,16,13,7,2,4,0,0,0,0,0,2,0,1
2019-03-07,13331,11058,9134,7291,926,772,27,0,237,0,1099,2571,68,194,199,190,146,21,19,1,0,3,0,1,4,1,3,18,15,9,2,4,0,0,0,0,0,2,0,1
2019-03-08,13289,11096,9126,7226,964,785,26,0,240,0,1100,2617,71,201,184,175,124,27,17,2,0,5,0,1,3,1,4,19,16,10,2,3,0,0,1,0,0,2,0,1
2019-03-09,13264,11094,9149,7201,986,816,26,0,235,0,1073,2597,66,191,180,171,121,28,16,1,0,5,0,1,3,1,4,20,17,11,2,3,0,0,1,0,0,2,0,1
2019-03-10,13289,11096,9159,7174,986,854,29,0,230,0,1080,2585,72,185,175,165,115,29,15,1,0,5,0,1,3,1,5,19,16,10,2,3,0,0,1,0,0,2,0,1
2019-03-11,13447,11241,9217,7119,1026,921,30,0,229,0,1097,2663,69,189,173,167,117,25,19,1,0,5,0,0,2,0,4,16,15,11,0,3,0,0,1,0,0,0,0,1
2019-03-12,13463,11278,9277,7084,1065,983,39,0,218,2,1063,2642,68,177,169,165,120,26,15,1,0,3,0,0,1,0,3,12,11,10,0,0,0,0,1,0,0,0,0,1
2019-03-13,13702,11530,9518,7064,1249,1052,42,0,227,2,1075,2665,61,183,165,160,111,30,15,1,0,3,0,0,2,1,2,12,11,10,0,0,0,0,1,0,0,0,1,0
2019-03-14,13697,11537,9516,7018,1250,1094,48,0,218,2,1098,2686,65,196,171,165,112,34,15,1,0,3,0,0,2,2,2,14,13,11,1,0,0,0,1,0,0,0,1,0
2019-03-15,13822,11684,9651,7087,1269,1146,49,0,209,2,1111,2714,64,184,171,166,113,33,19,0,0,1,0,0,2,2,1,13,12,10,1,1,0,0,0,0,0,0,1,0
2019-03-16,13926,11763,9710,7137,1274,1144,48,0,212,2,1120,2743,69,189,181,175,121,33,20,0,0,1,0,0,2,3,1,15,14,12,1,1,0,0,0,0,0,0,1,0
2019-03-17,13971,11825,9733,7146,1279,1144,48,0,223,2,1114,2789,67,196,183,178,121,33,23,0,0,1,0,0,2,3,0,16,15,13,1,1,0,0,0,0,0,0,1,0
2019-03-18,14014,11868,9806,7251,1227,1164,47,0,234,2,1152,2745,61,180,184,177,118,36,20,0,0,3,0,1,2,3,1,13,12,9,2,1,0,0,0,0,0,0,1,0
2019-03-19,14270,12151,10034,7469,1214,1192,55,0,230,0,1199,2823,62,188,184,174,116,33,23,0,0,2,0,1,5,3,1,16,14,9,2,3,0,0,0,0,0,1,1,0
2019-03-20,14105,11964,9901,7523,1036,1187,53,0,232,0,1181,2766,69,183,196,186,125,34,24,1,0,2,0,1,5,2,2,15,14,9,2,3,0,0,0,0,0,1,0,0
2019-03-21,14141,12062,9984,7592,1032,1195,54,0,247,1,1181,2793,69,172,200,187,128,32,24,1,0,2,0,1,7,1,4,11,10,6,1,3,0,0,0,0,0,1,0,0
2019-03-22,14250,12146,10014,7617,1044,1185,56,0,254,1,1214,2838,68,184,205,191,133,32,23,1,0,2,0,1,7,1,5,9,8,5,1,2,0,0,0,0,0,1,0,0
2019-03-23,14190,12120,9983,7577,1031,1207,58,0,249,1,1204,2825,64,177,206,191,130,33,23,1,0,4,0,1,7,0,7,7,6,2,2,2,0,0,0,0,0,1,0,0
2019-03-24,14218,12143,10005,7604,1027,1219,58,0,241,1,1213,2828,66,169,211,196,135,33,23,1,0,4,0,1,7,0,7,10,9,3,2,4,0,0,0,0,0,1,0,0
2019-03-25,14354,12266,10105,7639,1060,1243,64,0,254,1,1213,2867,73,169,208,194,134,31,24,1,0,4,0,0,7,0,7,10,9,3,1,5,0,0,0,0,0,1,0,0
2019-03-26,14346,12257,10078,7536,1099,1275,61,0,285,1,1287,2839,78,161,229,214,152,34,22,2,0,4,0,0,5,1,9,8,8,4,1,3,0,0,0,0,0,0,0,0
2019-03-27,14705,12600,10332,7677,1138,1346,72,0,300,1,1373,2901,78,170,212,197,140,33,19,1,0,4,0,0,5,2,8,8,7,3,1,3,0,0,0,0,0,1,0,0
2019-03-28,15093,12889,10540,7798,1178,1406,75,0,294,1,1419,2982,79,180,213,200,135,36,23,1,0,5,0,0,3,3,7,9,8,3,1,4,0,0,0,0,0,1,0,0
2019-03-29,15132,12942,10580,7826,1156,1433,79,0,296,1,1391,3034,76,171,207,193,134,31,22,1,0,5,0,1,3,3,7,11,10,4,2,4,0,0,0,0,0,1,0,0
2019-03-30,15175,12962,10596,7797,1161,1476,83,0,295,1,1384,3060,78,172,200,186,130,30,22,1,0,3,0,1,4,4,5,10,9,4,1,4,0,0,0,0,0,1,0,0
2019-03-31,15223,12992,10614,7765,1166,1515,87,0,304,1,1372,3078,75,183,197,182,125,30,23,1,0,3,0,1,5,4,5,9,8,3,2,3,0,0,0,0,0,1,0,0
2019-04-01,15171,12908,10524,7711,1147,1503,82,0,289,1,1352,3120,76,188,192,176,122,31,21,1,0,1,0,2,4,5,5,10,8,3,3,2,0,0,0,0,0,1,0,1
2019-04-02,15308,13005,10601,7786,1115,1544,80,0,262,1,1282,3153,74,194,188,174,114,34,23,1,0,2,0,3,3,4,4,13,11,3,4,4,0,0,0,0,0,1,0,1
2019-04-03,15337,12859,10458,7672,1088,1540,79,0,254,1,1208,3166,79,197,211,196,131,32,28,1,0,4,0,3,3,4,5,17,16,6,4,6,0,0,0,0,0,0,0,1
2019-04-04,15214,12755,10406,7594,1065,1581,82,0,250,0,1162,3115,87,202,201,185,126,28,27,1,0,3,0,4,5,3,4,17,15,6,4,5,0,0,0,0,0,1,0,1
2019-04-05,15169,12657,10383,7575,1066,1576,83,0,254,0,1139,3004,90,208,213,197,133,34,26,1,0,3,0,4,5,4,3,20,17,9,3,5,0,0,0,0,0,1,1,1
2019-04-06,15130,12606,10360,7594,1070,1523,87,0,251,0,1148,2952,89,217,210,194,131,32,26,1,0,4,0,4,5,3,4,20,17,9,3,5,0,0,0,0,0,1,1,1
2019-04-07,15080,12544,10309,7578,1053,1501,94,0,240,0,1149,2911,92,208,206,191,133,30,23,1,0,4,0,4,4,3,4,18,15,9,2,4,0,0,0,0,0,1,1,1
2019-04-08,15193,12657,10419,7697,1055,1486,105,0,244,0,1172,2935,89,207,209,193,136,29,23,1,0,4,0,4,6,3,3,17,15,10,1,4,0,0,0,0,0,1,1,0
2019-04-09,15087,12515,10283,7568,1057,1462,103,0,271,0,1177,2930,87,215,198,181,133,24,20,0,0,4,0,3,8,4,2,15,13,11,0,2,0,0,0,0,0,1,1,0
2019-04-10,14972,12551,10337,7588,1063,1491,101,0,268,0,1195,2917,84,202,198,180,126,27,21,1,0,5,0,4,8,4,2,11,9,9,0,0,0,0,0,0,0,1,1,0
2019-04-11,15154,12697,10412,7648,1076,1492,100,0,275,0,1218,3013,76,199,207,190,134,28,22,1,0,5,0,3,8,4,2,12,11,10,0,0,0,0,1,0,0,1,1,0
2019-04-12,15136,12709,10401,7596,1074,1543,103,0,256,0,1238,3055,73,197,202,186,134,24,22,1,0,5,0,2,9,3,2,11,11,10,0,0,0,0,1,0,0,1,0,0
2019-04-13,15291,12824,10501,7659,1079,1590,97,0,254,0,1256,3082,73,196,209,193,138,23,27,1,0,4,0,2,8,3,3,14,14,13,0,0,0,0,1,0,0,1,0,0
2019-04-14,15402,12946,10604,7700,1107,1625,87,0,264,0,1251,3129,75,201,214,197,139,24,28,2,0,4,0,3,8,3,3,16,16,14,1,0,0,0,1,0,0,1,0,0
2019-04-15,15519,12974,10626,7611,1122,1705,84,0,274,0,1255,3113,76,204,230,215,146,28,35,2,0,4,0,3,6,3,3,17,17,13,2,1,0,0,1,0,0,1,0,0
2019-04-16,15508,13018,10666,7663,1133,1688,85,0,261,1,1257,3129,72,198,228,214,143,29,37,2,0,3,0,3,5,2,4,16,16,11,3,1,0,0,1,0,0,1,0,0
2019-04-17,15417,12945,10599,7631,1137,1644,90,0,257,1,1222,3138,63,205,218,208,143,30,34,1,0,0,0,2,4,1,3,19,19,12,4,2,0,0,1,0,0,1,0,0
2019-04-18,14925,12525,10336,7447,1116,1571,94,0,258,1,1168,2947,61,187,216,208,141,35,31,1,0,0,0,2,2,1,3,21,20,13,4,3,0,0,0,0,1,0,0,0
2019-04-19,14563,12164,10032,7214,1099,1506,89,0,266,2,1151,2864,62,186,210,202,129,37,32,1,0,3,0,2,1,1,4,19,18,10,5,3,0,0,0,0,1,0,0,0
2019-04-20,14488,12152,9998,7163,1111,1502,90,0,271,2,1141,2895,60,197,205,198,129,40,25,1,0,3,0,2,1,1,3,18,17,8,5,4,0,0,0,0,1,0,0,0
2019-04-21,14347,12014,9896,7090,1106,1474,98,0,264,2,1125,2881,56,198,200,194,124,42,25,0,0,3,0,1,1,1,3,15,14,6,4,4,0,0,0,0,1,0,0,0
